id,y
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
